team code, game_date, game_number, mlb id, player name, batting order, confirmed, position
MIL,7/19/2019,1,518735,Yasmani Grandal,3,N,
MIL,7/19/2019,1,519058,Mike Moustakas,4,N,
MIL,7/19/2019,1,460075,Ryan Braun,5,N,
MIL,7/19/2019,1,519346,Eric Thames,6,N,
MIL,7/19/2019,1,669374,Keston Hiura,7,N,
MIL,7/19/2019,1,606115,Orlando Arcia,8,N,
MIL,7/19/2019,1,468504,Jhoulys Chacin,SP,N,
ARI,7/19/2019,1,502481,Jarrod Dyson,1,N,
ARI,7/19/2019,1,606466,Ketel Marte,2,N,
ARI,7/19/2019,1,500871,Eduardo Escobar,3,N,
ARI,7/19/2019,1,572233,Christian Walker,4,N,
ARI,7/19/2019,1,430945,Adam Jones,5,N,
ARI,7/19/2019,1,571875,Jake Lamb,6,N,
ARI,7/19/2019,1,605113,Nick Ahmed,7,N,
ARI,7/19/2019,1,488671,Alex Avila,8,N,
ARI,7/19/2019,1,664199,Taylor Clarke,SP,N,
MIA,7/19/2019,1,527049,Cesar Puello,1,N,
MIA,7/19/2019,1,643265,Garrett Cooper,2,N,
MIA,7/19/2019,1,605119,Brian Anderson,3,N,
MIA,7/19/2019,1,516770,Starlin Castro,4,N,
MIA,7/19/2019,1,623912,Harold Ramirez,5,N,
MIA,7/19/2019,1,595751,Jorge Alfaro,6,N,
MIA,7/19/2019,1,592680,Yadiel Rivera,7,N,
MIA,7/19/2019,1,500743,Miguel Rojas,8,N,
MIA,7/19/2019,1,668678,Zac Gallen,SP,N,
LAD,7/19/2019,1,592626,Joc Pederson,1,N,
LAD,7/19/2019,1,657077,Alex Verdugo,2,N,
LAD,7/19/2019,1,457759,Justin Turner,3,N,
LAD,7/19/2019,1,641355,Cody Bellinger,4,N,
LAD,7/19/2019,1,571970,Max Muncy,5,N,
LAD,7/19/2019,1,608369,Corey Seager,6,N,
LAD,7/19/2019,1,572041,AJ Pollock,7,N,
LAD,7/19/2019,1,431145,Russell Martin,8,N,
LAD,7/19/2019,1,547943,Hyun-Jin Ryu,SP,N,
LAA,7/19/2019,1,664058,David Fletcher,1,N,
LAA,7/19/2019,1,545361,Mike Trout,2,N,
LAA,7/19/2019,1,660271,Shohei Ohtani,3,N,
LAA,7/19/2019,1,594777,Kole Calhoun,4,N,
LAA,7/19/2019,1,592743,Andrelton Simmons,5,N,
LAA,7/19/2019,1,405395,Albert Pujols,6,N,
LAA,7/19/2019,1,642136,Matt Thaiss,7,N,
LAA,7/19/2019,1,607345,Kevan Smith,8,N,
LAA,7/19/2019,1,650859,Luis Rengifo,9,N,
LAA,7/19/2019,1,642545,Jaime Barria,SP,N,
SEA,7/19/2019,1,605480,Mallex Smith,1,N,
SEA,7/19/2019,1,641487,J.P. Crawford,2,N,
SEA,7/19/2019,1,570267,Domingo Santana,3,N,
SEA,7/19/2019,1,596129,Daniel Vogelbach,4,N,
SEA,7/19/2019,1,553882,Omar Narvaez,5,N,
SEA,7/19/2019,1,572122,Kyle Seager,6,N,
SEA,7/19/2019,1,543592,Austin Nola,7,N,
SEA,7/19/2019,1,502117,Kris Negron,8,N,
SEA,7/19/2019,1,543829,Dee Gordon,9,N,
SEA,7/19/2019,1,502190,Mike Leake,SP,N,
NYM,7/19/2019,1,643446,Jeff McNeil,1,N,
NYM,7/19/2019,1,624424,Michael Conforto,2,N,
NYM,7/19/2019,1,624413,Peter Alonso,3,N,
NYM,7/19/2019,1,429664,Robinson Cano,4,N,
NYM,7/19/2019,1,467092,Wilson Ramos,5,N,
NYM,7/19/2019,1,642086,Dominic Smith,6,N,
NYM,7/19/2019,1,453943,Todd Frazier,7,N,
NYM,7/19/2019,1,605204,J.D. Davis,8,N,
NYM,7/19/2019,1,594798,Jacob deGrom,SP,N,
SF,7/19/2019,1,474832,Brandon Belt,1,N,
SF,7/19/2019,1,457763,Buster Posey,2,N,
SF,7/19/2019,1,467055,Pablo Sandoval,3,N,
SF,7/19/2019,1,543105,Alex Dickerson,4,N,
SF,7/19/2019,1,543063,Brandon Crawford,5,N,
SF,7/19/2019,1,573262,Mike Yastrzemski,6,N,
SF,7/19/2019,1,607680,Kevin Pillar,7,N,
SF,7/19/2019,1,605412,Joe Panik,8,N,
SF,7/19/2019,1,595881,Tyler Beede,SP,N,
